"Designator","Mid X","Mid Y","Layer","Rotation"
"C91","123.1mm","-95.6mm","top","0.0"
"L122","119.9mm","-88.9mm","top","90.0"
"C123","120.38mm","-83.8mm","top","0.0"
"C131","117.5mm","-91mm","top","-90.0"
"R171","116.2mm","-95mm","top","-90.0"
"C124","121.9mm","-89.9mm","top","90.0"
"C111","121.6mm","-92.9mm","top","0.0"
"X1","127.1mm","-95.6mm","top","180.0"
"C141","116.2mm","-93mm","top","90.0"
"C51","121.6mm","-99.72mm","top","90.0"
"L121","121.4mm","-91.4mm","top","0.0"
"C101","124.7mm","-96.7mm","top","90.0"
"C125","119.9mm","-82.2mm","top","90.0"
"L123","119.9mm","-85.515mm","top","90.0"
"U1","119.4mm","-96.1mm","top","90.0"
"C181","116.1mm","-96.9mm","top","-90.0"
"C121","119.9mm","-91mm","top","90.0"
"L131","118.7mm","-91mm","top","90.0"
"C41","120.6mm","-99.7mm","top","-90.0"
"J1","119.9mm","-77.9725mm","top","-90.0"
"C122","120.4mm","-87.2mm","top","0.0"
"C151","117.9mm","-92.8mm","top","180.0"
"C81","124.7mm","-94.5mm","top","90.0"
